episode,reward,ep_len,covered,solved,invalid_actions,invalid_rate,critic_loss,actor_loss,alpha
1,9.8,7,24,0,1,0.143,,,
2,13.400000000000002,9,32,0,1,0.111,,,
3,8.0,6,20,0,1,0.167,,,
4,11.600000000000001,8,28,0,1,0.125,,,
5,9.8,7,24,0,1,0.143,,,
6,15.200000000000003,10,36,0,1,0.100,,,
7,11.600000000000001,8,28,0,1,0.125,,,
8,11.600000000000001,8,28,0,1,0.125,,,
9,8.0,6,20,0,1,0.167,,,
10,11.600000000000001,8,28,0,1,0.125,,,
11,11.600000000000001,8,28,0,1,0.125,,,
12,11.600000000000001,8,28,0,1,0.125,,,
13,11.600000000000001,8,28,0,1,0.125,,,
14,9.8,7,24,0,1,0.143,,,
15,11.600000000000001,8,28,0,1,0.125,,,
16,9.8,7,24,0,1,0.143,,,
17,9.8,7,24,0,1,0.143,,,
18,11.600000000000001,8,28,0,1,0.125,,,
19,13.400000000000002,9,32,0,1,0.111,,,
20,11.600000000000001,8,28,0,1,0.125,,,
21,9.8,7,24,0,1,0.143,,,
22,13.400000000000002,9,32,0,1,0.111,,,
23,9.8,7,24,0,1,0.143,,,
24,9.8,7,24,0,1,0.143,,,
25,11.600000000000001,8,28,0,1,0.125,,,
26,11.600000000000001,8,28,0,1,0.125,,,
27,13.400000000000002,9,32,0,1,0.111,,,
28,9.8,7,24,0,1,0.143,,,
29,11.600000000000001,8,28,0,1,0.125,,,
30,11.600000000000001,8,28,0,1,0.125,,,
31,9.8,7,24,0,1,0.143,,,
32,11.600000000000001,8,28,0,1,0.125,,,
33,11.600000000000001,8,28,0,1,0.125,,,
34,8.0,6,20,0,1,0.167,,,
35,8.0,6,20,0,1,0.167,,,
36,11.600000000000001,8,28,0,1,0.125,,,
37,13.400000000000002,9,32,0,1,0.111,,,
38,13.400000000000002,9,32,0,1,0.111,,,
39,11.600000000000001,8,28,0,1,0.125,,,
40,13.400000000000002,9,32,0,1,0.111,,,
41,13.400000000000002,9,32,0,1,0.111,,,
42,11.600000000000001,8,28,0,1,0.125,,,
43,9.8,7,24,0,1,0.143,,,
44,13.400000000000002,9,32,0,1,0.111,,,
45,13.400000000000002,9,32,0,1,0.111,,,
46,11.600000000000001,8,28,0,1,0.125,,,
47,13.400000000000002,9,32,0,1,0.111,,,
48,8.0,6,20,0,1,0.167,,,
49,11.600000000000001,8,28,0,1,0.125,,,
50,13.400000000000002,9,32,0,1,0.111,,,
51,9.8,7,24,0,1,0.143,,,
52,11.600000000000001,8,28,0,1,0.125,,,
53,11.600000000000001,8,28,0,1,0.125,,,
54,9.8,7,24,0,1,0.143,,,
55,13.400000000000002,9,32,0,1,0.111,,,
56,11.600000000000001,8,28,0,1,0.125,,,
57,13.400000000000002,9,32,0,1,0.111,,,
58,9.8,7,24,0,1,0.143,,,
59,11.600000000000001,8,28,0,1,0.125,,,
60,11.600000000000001,8,28,0,1,0.125,,,
61,15.200000000000003,10,36,0,1,0.100,,,
62,11.600000000000001,8,28,0,1,0.125,,,
63,13.400000000000002,9,32,0,1,0.111,,,
64,9.8,7,24,0,1,0.143,,,
65,9.8,7,24,0,1,0.143,,,
66,11.600000000000001,8,28,0,1,0.125,,,
67,9.8,7,24,0,1,0.143,,,
68,11.600000000000001,8,28,0,1,0.125,,,
69,11.600000000000001,8,28,0,1,0.125,,,
70,9.8,7,24,0,1,0.143,,,
