episode,reward,ep_len,covered,solved,invalid_actions,invalid_rate,critic_loss,actor_loss,alpha
1,-1.0,9,32,0,1,0.111,,,
2,-1.0,7,24,0,1,0.143,,,
3,-1.0,9,32,0,1,0.111,,,
4,-1.0,8,28,0,1,0.125,,,
5,-1.0,7,24,0,1,0.143,,,
6,-1.0,7,24,0,1,0.143,,,
7,-1.0,8,28,0,1,0.125,,,
8,-1.0,10,36,0,1,0.100,,,
9,-1.0,7,24,0,1,0.143,,,
10,-1.0,8,28,0,1,0.125,,,
11,-1.0,7,24,0,1,0.143,,,
12,-1.0,8,28,0,1,0.125,,,
13,-1.0,7,24,0,1,0.143,,,
14,-1.0,8,28,0,1,0.125,,,
15,-1.0,8,28,0,1,0.125,,,
16,-1.0,7,24,0,1,0.143,,,
17,-1.0,8,28,0,1,0.125,,,
18,-1.0,7,24,0,1,0.143,,,
19,-1.0,8,28,0,1,0.125,,,
20,-1.0,9,32,0,1,0.111,,,
21,-1.0,7,24,0,1,0.143,,,
22,-1.0,9,32,0,1,0.111,,,
23,-1.0,8,28,0,1,0.125,,,
24,-1.0,7,24,0,1,0.143,,,
25,-1.0,9,32,0,1,0.111,,,
26,-1.0,7,24,0,1,0.143,,,
27,-1.0,7,24,0,1,0.143,,,
28,-1.0,8,28,0,1,0.125,,,
29,-1.0,8,28,0,1,0.125,,,
30,-1.0,9,32,0,1,0.111,,,
31,-1.0,6,20,0,1,0.167,,,
32,-1.0,9,32,0,1,0.111,,,
33,-1.0,8,28,0,1,0.125,,,
34,-1.0,7,24,0,1,0.143,,,
35,-1.0,7,24,0,1,0.143,,,
36,-1.0,9,32,0,1,0.111,,,
37,-1.0,10,36,0,1,0.100,,,
38,-1.0,6,20,0,1,0.167,,,
39,-1.0,9,32,0,1,0.111,,,
40,-1.0,8,28,0,1,0.125,,,
41,-1.0,8,28,0,1,0.125,,,
42,-1.0,8,28,0,1,0.125,,,
43,-1.0,8,28,0,1,0.125,,,
44,-1.0,7,24,0,1,0.143,,,
45,-1.0,9,32,0,1,0.111,,,
46,-1.0,8,28,0,1,0.125,,,
47,-1.0,5,16,0,1,0.200,,,
48,-1.0,7,24,0,1,0.143,,,
49,-1.0,9,32,0,1,0.111,,,
50,-1.0,6,20,0,1,0.167,,,
51,-1.0,7,24,0,1,0.143,,,
52,-1.0,8,28,0,1,0.125,,,
53,-1.0,8,28,0,1,0.125,,,
54,-1.0,10,36,0,1,0.100,,,
55,-1.0,9,32,0,1,0.111,,,
56,-1.0,9,32,0,1,0.111,,,
57,-1.0,9,32,0,1,0.111,,,
58,-1.0,9,32,0,1,0.111,,,
59,-1.0,8,28,0,1,0.125,,,
60,-1.0,7,24,0,1,0.143,,,
61,-1.0,8,28,0,1,0.125,,,
62,-1.0,8,28,0,1,0.125,,,
63,-1.0,7,24,0,1,0.143,,,
64,-1.0,7,24,0,1,0.143,,,
65,-1.0,8,28,0,1,0.125,,,
66,-1.0,9,32,0,1,0.111,,,
67,-1.0,7,24,0,1,0.143,,,
68,-1.0,8,28,0,1,0.125,,,
69,-1.0,8,28,0,1,0.125,,,
70,-1.0,8,28,0,1,0.125,,,
71,-1.0,6,20,0,1,0.167,,,
72,-1.0,8,28,0,1,0.125,,,
73,-1.0,8,28,0,1,0.125,,,
74,-1.0,9,32,0,1,0.111,,,
75,-1.0,8,28,0,1,0.125,,,
76,-1.0,10,36,0,1,0.100,,,
77,-1.0,9,32,0,1,0.111,,,
78,-1.0,8,28,0,1,0.125,,,
79,-1.0,8,28,0,1,0.125,,,
80,-1.0,9,32,0,1,0.111,,,
81,-1.0,8,28,0,1,0.125,,,
82,-1.0,8,28,0,1,0.125,,,
83,-1.0,6,20,0,1,0.167,,,
84,-1.0,8,28,0,1,0.125,,,
85,-1.0,8,28,0,1,0.125,,,
86,-1.0,8,28,0,1,0.125,,,
87,-1.0,8,28,0,1,0.125,,,
88,-1.0,8,28,0,1,0.125,,,
89,-1.0,9,32,0,1,0.111,,,
90,-1.0,8,28,0,1,0.125,,,
91,-1.0,8,28,0,1,0.125,,,
92,-1.0,7,24,0,1,0.143,,,
93,-1.0,7,24,0,1,0.143,,,
94,-1.0,9,32,0,1,0.111,,,
95,-1.0,8,28,0,1,0.125,,,
96,-1.0,8,28,0,1,0.125,,,
97,-1.0,8,28,0,1,0.125,,,
98,-1.0,9,32,0,1,0.111,,,
99,-1.0,9,32,0,1,0.111,,,
100,-1.0,6,20,0,1,0.167,,,
101,-1.0,9,32,0,1,0.111,,,
102,-1.0,7,24,0,1,0.143,,,
103,-1.0,8,28,0,1,0.125,,,
104,-1.0,9,32,0,1,0.111,,,
105,-1.0,9,32,0,1,0.111,,,
106,-1.0,9,32,0,1,0.111,,,
107,-1.0,7,24,0,1,0.143,,,
108,-1.0,7,24,0,1,0.143,,,
109,-1.0,8,28,0,1,0.125,,,
110,-1.0,9,32,0,1,0.111,,,
111,-1.0,7,24,0,1,0.143,,,
112,-1.0,8,28,0,1,0.125,,,
113,-1.0,8,28,0,1,0.125,,,
114,-1.0,9,32,0,1,0.111,,,
115,-1.0,9,32,0,1,0.111,,,
116,-1.0,7,24,0,1,0.143,,,
117,-1.0,8,28,0,1,0.125,,,
118,-1.0,9,32,0,1,0.111,,,
119,-1.0,7,24,0,1,0.143,,,
120,-1.0,9,32,0,1,0.111,,,
121,-1.0,7,24,0,1,0.143,,,
122,-1.0,8,28,0,1,0.125,,,
123,-1.0,9,32,0,1,0.111,,,
124,-1.0,7,24,0,1,0.143,,,
125,-1.0,8,28,0,1,0.125,,,
126,-1.0,7,24,0,1,0.143,,,
127,-1.0,8,28,0,1,0.125,,,
128,-1.0,8,28,0,1,0.125,,,
129,-1.0,9,32,0,1,0.111,,,
130,-1.0,7,24,0,1,0.143,,,
131,-1.0,8,28,0,1,0.125,,,
132,-1.0,9,32,0,1,0.111,,,
133,-1.0,8,28,0,1,0.125,,,
134,-1.0,8,28,0,1,0.125,,,
135,-1.0,7,24,0,1,0.143,,,
136,-1.0,8,28,0,1,0.125,,,
137,-1.0,8,28,0,1,0.125,,,
138,-1.0,7,24,0,1,0.143,,,
139,-1.0,9,32,0,1,0.111,,,
140,-1.0,7,24,0,1,0.143,,,
141,-1.0,9,32,0,1,0.111,,,
142,-1.0,7,24,0,1,0.143,,,
143,-1.0,6,20,0,1,0.167,,,
144,-1.0,8,28,0,1,0.125,,,
145,-1.0,7,24,0,1,0.143,,,
146,-1.0,6,20,0,1,0.167,,,
147,-1.0,7,24,0,1,0.143,,,
148,-1.0,7,24,0,1,0.143,,,
149,-1.0,8,28,0,1,0.125,,,
150,-1.0,9,32,0,1,0.111,,,
151,-1.0,8,28,0,1,0.125,,,
152,-1.0,7,24,0,1,0.143,,,
153,-1.0,7,24,0,1,0.143,,,
154,-1.0,8,28,0,1,0.125,,,
155,-1.0,7,24,0,1,0.143,,,
156,-1.0,6,20,0,1,0.167,,,
157,-1.0,8,28,0,1,0.125,,,
158,-1.0,9,32,0,1,0.111,,,
159,-1.0,8,28,0,1,0.125,,,
160,-1.0,7,24,0,1,0.143,,,
161,-1.0,6,20,0,1,0.167,,,
162,-1.0,7,24,0,1,0.143,,,
163,-1.0,8,28,0,1,0.125,,,
164,-1.0,8,28,0,1,0.125,,,
165,-1.0,8,28,0,1,0.125,,,
166,-1.0,8,28,0,1,0.125,,,
167,-1.0,8,28,0,1,0.125,,,
168,-1.0,7,24,0,1,0.143,,,
169,-1.0,8,28,0,1,0.125,,,
170,-1.0,9,32,0,1,0.111,,,
171,-1.0,8,28,0,1,0.125,,,
172,-1.0,6,20,0,1,0.167,,,
173,-1.0,7,24,0,1,0.143,,,
174,-1.0,8,28,0,1,0.125,,,
175,-1.0,7,24,0,1,0.143,,,
176,-1.0,8,28,0,1,0.125,,,
177,-1.0,7,24,0,1,0.143,,,
178,-1.0,9,32,0,1,0.111,,,
179,-1.0,8,28,0,1,0.125,,,
180,-1.0,8,28,0,1,0.125,,,
181,-1.0,8,28,0,1,0.125,,,
182,-1.0,8,28,0,1,0.125,,,
183,-1.0,7,24,0,1,0.143,,,
184,-1.0,8,28,0,1,0.125,,,
185,-1.0,7,24,0,1,0.143,,,
186,-1.0,6,20,0,1,0.167,,,
187,-1.0,8,28,0,1,0.125,,,
188,-1.0,7,24,0,1,0.143,,,
189,-1.0,7,24,0,1,0.143,,,
190,-1.0,8,28,0,1,0.125,,,
191,-1.0,8,28,0,1,0.125,,,
192,-1.0,7,24,0,1,0.143,,,
193,-1.0,9,32,0,1,0.111,,,
194,-1.0,9,32,0,1,0.111,,,
195,-1.0,9,32,0,1,0.111,,,
196,-1.0,10,36,0,1,0.100,,,
197,-1.0,8,28,0,1,0.125,,,
198,-1.0,10,36,0,1,0.100,,,
199,-1.0,6,20,0,1,0.167,,,
200,-1.0,8,28,0,1,0.125,,,
201,-1.0,7,24,0,1,0.143,,,
202,-1.0,8,28,0,1,0.125,,,
203,-1.0,8,28,0,1,0.125,,,
204,-1.0,9,32,0,1,0.111,,,
205,-1.0,10,36,0,1,0.100,,,
206,-1.0,8,28,0,1,0.125,,,
207,-1.0,6,20,0,1,0.167,,,
208,-1.0,7,24,0,1,0.143,,,
209,-1.0,8,28,0,1,0.125,,,
210,-1.0,9,32,0,1,0.111,,,
211,-1.0,8,28,0,1,0.125,,,
